process_order,row_id,kind,file,line,label,verdict,flag,reason
99,branch|src/composing/analysis/engravingbridge/regiontonecollector.cpp|177|452,branch,src/composing/analysis/engravingbridge/regiontonecollector.cpp,177,if in weightedPcView,SURVIVES,clean,weightedPcView `if (excludeLookAheadOnDenseStart)` — the dense-start exclusion block entry. Correct.
100,literal|src/composing/analysis/engravingbridge/regiontonecollector.cpp|297|313,literal,src/composing/analysis/engravingbridge/regiontonecollector.cpp,297,0.3 in weightedPcView,ESTABLISHED,clean,0.3 in `(1.0 + 0.3 * (distinct-1))` — Pass-2 repetition-boost coefficient; documented legacy value.
101,crosslayer|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|41|631,crosslayer,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,41,include engraving/dom/segment.h -> external,SURVIVES,clean,phraseboundaryview.cpp include engraving/dom/segment.h — external DOM; Segment used. Layer-adherent.
102,literal|src/composing/analysis/engravingbridge/regiontonecollector.cpp|151|302,literal,src/composing/analysis/engravingbridge/regiontonecollector.cpp,151,4 in weightedPcView,ESTABLISHED,clean,"4 in `(startTick - Fraction(4,1)).ticks()` — 4-whole-note backward pedal-candidate window; documented legacy coverage."
103,field|src/composing/analysis/slicing/slicer.h|86|401,field,src/composing/analysis/slicing/slicer.h,86,Slice::end,PUBLISHED,clean,Slice::end — published L2 fact (exclusive upper bound); consumed by slice consumers. PUBLISHED.
104,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|153|411,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,153,else-if in collectMarkerTicks,SURVIVES,clean,"collectMarkerTicks `else if (key != prevKey && tick > 0)` — mid-score key-signature CHANGE spike (engraved event, not inferred key). Correct."
105,literal|src/composing/analysis/engravingbridge/regiontoneprimitives.cpp|259|333,literal,src/composing/analysis/engravingbridge/regiontoneprimitives.cpp,259,0.0 in pitchContextOverSpan,ESTABLISHED,clean,0.0 in `double distBeats = 0.0` (pitchContextOverSpan). Correct.
106,crosslayer|src/composing/analysis/engravingbridge/regiontonecollector.h|55|647,crosslayer,src/composing/analysis/engravingbridge/regiontonecollector.h,55,include engraving/dom/score.h -> external,SURVIVES,clean,regiontonecollector.h include engraving/dom/score.h — external DOM; Score used. Layer-adherent.
107,branch|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|345|435,branch,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,345,if in computePhraseBoundaryProfile,SURVIVES,clean,computePhraseBoundaryProfile normalizeAcrossVoices `if (mx <= 0.0)` — all-zero guard. Correct.
108,field|src/composing/analysis/notemodel/note_model.h|88|394,field,src/composing/analysis/notemodel/note_model.h,88,NoteEvent::isGrace,PUBLISHED,clean,"NoteEvent::isGrace — published L1 annotation (kept-and-flagged, not dropped); consumed by the view filters. PUBLISHED."
109,literal|src/composing/analysis/engravingbridge/phraseboundaryview.cpp|430|289,literal,src/composing/analysis/engravingbridge/phraseboundaryview.cpp,430,0.0 in computePhraseBoundaryProfile,ESTABLISHED,clean,0.0 in `double strength = 0.0` (texture-grid accumulation). Correct.
110,branch|src/composing/analysis/engravingbridge/spellingview.cpp|38|537,branch,src/composing/analysis/engravingbridge/spellingview.cpp,38,if in lineOfFifths,SURVIVES,clean,lineOfFifths `if (!tpcIsValid(tpc))` — the sole tpc presence test (returns kNoLineOfFifths); documented as NOT `>=0` to keep flat-side spellings. Correct.
111,function|src/composing/analysis/scoreharvest/metricweights.cpp|39|262,function,src/composing/analysis/scoreharvest/metricweights.cpp,39,beatTypeToWeight(),SURVIVES,clean,beatTypeToWeight() — BeatType -> prefs weight switch; default returns prefs.beatWeightSubbeat. Correct.
