process_order,row_id,kind,scope,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason
67,function|src/composing/analysis/chord/chordanalyzer.cpp|1040|25,function,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1040,deriveChordExtensions(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function deriveChordExtensions(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
68,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|931|910,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,931,7 in formatRomanNumeral,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing formatRomanNumeral,n/a (compile-time constant),,"Constant 7 in formatRomanNumeral: const std::array<int, 7>& scale = csfTonicizationScales[modeScaleIdx]; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
69,literal|src/composing/analysis/types/analysistypes.h|851|1133,literal,satellites,src/composing/analysis/types/analysistypes.h,851,5.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
70,literal|src/composing/analysis/types/analysistypes.h|878|1175,literal,satellites,src/composing/analysis/types/analysistypes.h,878,0.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
71,literal|src/composing/analysis/types/analysistypes.h|855|1142,literal,satellites,src/composing/analysis/types/analysistypes.h,855,5.0 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
72,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|566|1957,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,566,ternary in csfDiatonicRoman,,SURVIVES,its guarded predicate,control flow only,csfDiatonicRoman,null/empty/range handled by the enclosing guard,,"Branch (ternary) in csfDiatonicRoman: const char* susTag = (quality == ChordQuality::Suspended2) ? ""sus2"" :  — straightforward guarded control flow; edge cases handled; no correctness issue observed."
73,literal|src/composing/analysis/types/analysistypes.h|440|998,literal,satellites,src/composing/analysis/types/analysistypes.h,440,2.0 in bounds,yes,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing bounds,n/a (compile-time constant),,"Constant 2.0 in bounds: { ""inversionSuspicionMargin"",                 { 0.0, 2.0 } }, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
74,literal|src/composing/analysis/chord/chordanalyzer.cpp|548|281,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,548,12 in dim7CharacteristicBonus,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing dim7CharacteristicBonus,n/a (compile-time constant),,"Constant 12 in dim7CharacteristicBonus: const std::array<double, 12>& pcWeight, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
75,crosslayer|src/composing/analysis/region/sparsechordrefinement.h|35|2097,crosslayer,satellites,src/composing/analysis/region/sparsechordrefinement.h,35,include composing/analysis/chord/chordanalyzer.h -> chord,,SURVIVES,the included header's API,a dependency edge,sparsechordrefinement.h,n/a,,#include composing/analysis/chord/chordanalyzer.h (chord): a correct within-/adjacent-layer dependency (chord scorer/types reuse); SURVIVES.
76,literal|src/composing/analysis/chord/chordanalyzer.cpp|144|204,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,144,0.5 in <file-scope>,no,UNFIT,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),registered-not-in-manifest,"kAugThinEvidenceFactor=0.5: hand-set [empirical] (Iter-78/79), registered for the Stage-5 override loader, but ABSENT from param_manifest.json (same gap as kComplexityEvidenceFloor / kExtensionThreshold / kWCompletePresenceThreshold — 4 registered constants unmanifested)."
77,field|src/composing/analysis/chord/chordslicedecoder.h|429|1324,field,decoder,src/composing/analysis/chord/chordslicedecoder.h,429,SliceChord::hasChord,,SURVIVES,its default initializer,SliceChord::hasChord,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field SliceChord::hasChord: a published struct member with a documented default; consumed downstream; SURVIVES.
78,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|501|1935,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,501,case in csfDiatonicRoman,,SURVIVES,its guarded predicate,control flow only,csfDiatonicRoman,null/empty/range handled by the enclosing guard,,Branch (case) in csfDiatonicRoman: case ChordQuality::Augmented: — straightforward guarded control flow; edge cases handled; no correctness issue observed.
79,literal|src/composing/analysis/types/analysistypes.h|866|1162,literal,satellites,src/composing/analysis/types/analysistypes.h,866,1.5 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
80,literal|src/composing/analysis/chord/chordanalyzer.h|516|606,literal,oracle,src/composing/analysis/chord/chordanalyzer.h,516,3 in advanceTemporalContext,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing advanceTemporalContext,n/a (compile-time constant),,"Constant 3 in advanceTemporalContext: std::array<int, 3>& recentRootsBuf, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
81,literal|src/composing/analysis/chord/chordanalyzer.cpp|1464|511,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1464,0.0 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 0.0 in analyzeChord: default:                       return 0.0;  // gate only fires for plain triads — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
82,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|669|1994,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,669,if in csfRomanWithInversion,,SURVIVES,its guarded predicate,control flow only,csfRomanWithInversion,null/empty/range handled by the enclosing guard,,Branch (if) in csfRomanWithInversion: if (roman.empty() || bassPc == rootPc) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
83,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|187|723,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,187,5 in csfPitchClassNameFromTpc,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing csfPitchClassNameFromTpc,n/a (compile-time constant),,"Constant 5 in csfPitchClassNameFromTpc: if (keySignatureFifths <= -5 && pc == 11 && (tpc == 19 || tpc == 20)) — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
84,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|390|1919,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,390,else-if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (else-if) in csfQualitySuffix: else if (hasNinthSharp) { suffix += ""#9""; } — straightforward guarded control flow; edge cases handled; no correctness issue observed."
85,field|src/composing/analysis/chord/chordanalyzer.h|683|1281,field,oracle,src/composing/analysis/chord/chordanalyzer.h,683,ChordExtensionInfo::naturalFifthPresent,,SURVIVES,its default initializer,ChordExtensionInfo::naturalFifthPresent,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordExtensionInfo::naturalFifthPresent: a published struct member with a documented default; consumed downstream; SURVIVES.
86,crosslayer|src/composing/analysis/chord/chordslicedecoder.h|146|2089,crosslayer,decoder,src/composing/analysis/chord/chordslicedecoder.h,146,include chordanalyzer.h -> external,,SURVIVES,the included header's API,a dependency edge,chordslicedecoder.h,n/a,,#include chordanalyzer.h (external): a correct within-/adjacent-layer dependency (chord scorer/types reuse); SURVIVES.
87,literal|src/composing/analysis/types/analysistypes.h|602|1020,literal,satellites,src/composing/analysis/types/analysistypes.h,602,0.20 in <file-scope>,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
88,function|src/composing/analysis/chord/chordanalyzer.h|202|50,function,oracle,src/composing/analysis/chord/chordanalyzer.h,202,isDiatonicStep(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function isDiatonicStep(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
89,branch|src/composing/analysis/chord/chordslicedecoder.cpp|804|1733,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,804,ternary in classifyMembership,,SURVIVES,its guarded predicate,control flow only,classifyMembership,null/empty/range handled by the enclosing guard,,Branch (ternary) in classifyMembership: const ChordSliceCandidate* nextC = nextChord.has_value() ? &*nextChord — straightforward guarded control flow; edge cases handled; no correctness issue observed.
90,literal|src/composing/analysis/chord/chordanalyzer.cpp|509|273,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,509,5 in scoreExtraNotes,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing scoreExtraNotes,n/a (compile-time constant),,"Constant 5 in scoreExtraNotes: if (pcWeight[static_cast<size_t>(normalizePc(rootPc + 5))] < 0.1) { — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
91,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|678|1995,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,678,if in csfRomanWithInversion,,SURVIVES,its guarded predicate,control flow only,csfRomanWithInversion,null/empty/range handled by the enclosing guard,,Branch (if) in csfRomanWithInversion: if (intervalIt == intervals.end()) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
92,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|568|1959,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,568,if in csfDiatonicRoman,,SURVIVES,its guarded predicate,control flow only,csfDiatonicRoman,null/empty/range handled by the enclosing guard,,"Branch (if) in csfDiatonicRoman: if (hasExtension(r.identity.extensions, Extension::MajorSeventh)) rn + — straightforward guarded control flow; edge cases handled; no correctness issue observed."
93,literal|src/composing/analysis/chord/chordanalyzer.cpp|1338|470,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1338,3 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),duplicated-parent-mapping,DIATONIC_PARENT_INDEX melodic-minor row: correct; 21→parent mapping duplicated across sites.
94,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|463|763,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,463,3 in csfChromaticRoman,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing csfChromaticRoman,n/a (compile-time constant),duplicated-scale-table,SCALES[] Aeolian: correct value; same duplicated 7-mode table (SCALES / csfTonicizationScales / keyModeScaleIntervals).
95,literal|src/composing/analysis/chord/chordanalyzer.cpp|1231|414,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1231,12 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 12 in analyzeChord: std::array<int, 12> tpcForPc; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
96,branch|src/composing/analysis/chord/chordanalyzer.cpp|1008|1582,branch,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1008,if in buildChordResult,,SURVIVES,its guarded predicate,control flow only,buildChordResult,null/empty/range handled by the enclosing guard,,Branch (if) in buildChordResult: if ((ctx.keyTonicPc + interval) % 12 == pc) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
97,literal|src/composing/analysis/chord/chordanalyzer.cpp|744|335,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,744,12 in tpcConsistencyBonus,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing tpcConsistencyBonus,n/a (compile-time constant),,"Constant 12 in tpcConsistencyBonus: const std::array<int, 12>& tpcForPc, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
98,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|542|785,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,542,11 in csfDiatonicRoman,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing csfDiatonicRoman,n/a (compile-time constant),,"Constant 11 in csfDiatonicRoman: else if (hasExtension(r.identity.extensions, Extension::NaturalEleventh))     le — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
99,literal|src/composing/analysis/chord/chordanalyzer.cpp|1463|509,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1463,4 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),,"Constant 4 in analyzeChord: case ChordQuality::Augmented:  thirdInterval = 4; fifthInterval = 8; break; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
100,branch|src/composing/analysis/region/sparsechordrefinement.cpp|52|2057,branch,satellites,src/composing/analysis/region/sparsechordrefinement.cpp,52,if in diatonicTriadShapeForDegree,,SURVIVES,its guarded predicate,control flow only,diatonicTriadShapeForDegree,null/empty/range handled by the enclosing guard,,Branch (if) in diatonicTriadShapeForDegree: if (thirdInterval == 4 && fifthInterval == 7) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
101,literal|src/composing/analysis/chord/chordanalyzer.cpp|1047|396,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1047,12 in deriveChordExtensions,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing deriveChordExtensions,n/a (compile-time constant),,"Constant 12 in deriveChordExtensions: if (rootPc < 0 || rootPc >= 12) { — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
102,literal|src/composing/analysis/chord/chordanalyzer.h|363|590,literal,oracle,src/composing/analysis/chord/chordanalyzer.h,363,0.0 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 0.0 in <file-scope>: double       wCompleteBonus   = 0.0; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
103,field|src/composing/analysis/chord/chordanalyzer.h|374|1238,field,oracle,src/composing/analysis/chord/chordanalyzer.h,374,DiagnosticCompetitionCandidate::bassPc,,SURVIVES,its default initializer,DiagnosticCompetitionCandidate::bassPc,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field DiagnosticCompetitionCandidate::bassPc: a published struct member with a documented default; consumed downstream; SURVIVES.
104,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|342|1894,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,342,if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in csfQualitySuffix: if (hasNinthFlat)  { suffix += ""b9""; } — straightforward guarded control flow; edge cases handled; no correctness issue observed."
105,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|464|770,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,464,6 in csfChromaticRoman,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing csfChromaticRoman,n/a (compile-time constant),duplicated-scale-table,SCALES[] Locrian: correct value; same duplicated 7-mode table.
106,field|src/composing/analysis/chord/chordslicedecoder.h|165|1285,field,decoder,src/composing/analysis/chord/chordslicedecoder.h,165,ChordSliceDecoderPreferences::contextSlices,,SURVIVES,its default initializer,ChordSliceDecoderPreferences::contextSlices,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field ChordSliceDecoderPreferences::contextSlices: a published struct member with a documented default; consumed downstream; SURVIVES.
107,literal|src/composing/analysis/chord/chordanalyzer.cpp|1337|464,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1337,2 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),duplicated-parent-mapping,"DIATONIC_PARENT_INDEX identity row: correct; the same 21→parent mapping is also in the formatter (CHR_DIATONIC_PARENT, csfTonicizationParent)."
108,branch|src/composing/analysis/chord/chordsymbolformatter.cpp|253|1843,branch,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,253,if in csfQualitySuffix,,SURVIVES,its guarded predicate,control flow only,csfQualitySuffix,null/empty/range handled by the enclosing guard,,"Branch (if) in csfQualitySuffix: if (hasEleventhSharp) { suffix += ""#11""; } — straightforward guarded control flow; edge cases handled; no correctness issue observed."
109,field|src/composing/analysis/chord/chordanalyzer.h|391|1249,field,oracle,src/composing/analysis/chord/chordanalyzer.h,391,DiagnosticCompetitionCandidate::stepInBonus,,SURVIVES,its default initializer,DiagnosticCompetitionCandidate::stepInBonus,downstream readers of the struct,sentinel default (-1/false/0) documented,,Field DiagnosticCompetitionCandidate::stepInBonus: a published struct member with a documented default; consumed downstream; SURVIVES.
110,literal|src/composing/analysis/chord/chordanalyzer.cpp|276|226,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,276,12 in detectExtensions,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing detectExtensions,n/a (compile-time constant),,"Constant 12 in detectExtensions: return pcWeight[static_cast<size_t>((rootPc + semitones) % 12)]; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
111,literal|src/composing/analysis/chord/chordanalyzer.cpp|1043|395,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1043,12 in deriveChordExtensions,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing deriveChordExtensions,n/a (compile-time constant),,"Constant 12 in deriveChordExtensions: const std::array<int, 12>& tpcForPc, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
112,literal|src/composing/analysis/types/analysistypes.h|832|1102,literal,satellites,src/composing/analysis/types/analysistypes.h,832,0.5 in bounds,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
113,literal|src/composing/analysis/chord/chordanalyzer.h|555|611,literal,oracle,src/composing/analysis/chord/chordanalyzer.h,555,3 in advanceTemporalContext,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing advanceTemporalContext,n/a (compile-time constant),,"Constant 3 in advanceTemporalContext: std::array<int, 3>&           recentRootsBuf, — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
114,field|src/composing/analysis/types/analysistypes.h|620|1410,field,satellites,src/composing/analysis/types/analysistypes.h,620,KeyModeAnalyzerPreferences::extraScaleCap,,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
115,literal|src/composing/analysis/chord/chordanalyzer.cpp|1337|465,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,1337,3 in analyzeChord,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing analyzeChord,n/a (compile-time constant),duplicated-parent-mapping,DIATONIC_PARENT_INDEX identity row: correct; 21→parent mapping duplicated across sites.
116,literal|src/composing/analysis/chord/chordsymbolformatter.cpp|792|836,literal,satellites,src/composing/analysis/chord/chordsymbolformatter.cpp,792,2 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),duplicated-scale-table,csfTonicizationScales Lydian: correct value; duplicated 7-mode table.
117,literal|src/composing/analysis/types/analysistypes.h|803|1078,literal,satellites,src/composing/analysis/types/analysistypes.h,803,0.2 in <file-scope>,no,OUT-OF-L4-SCOPE,n/a (L3),n/a (L3),KeyModeAnalyzer (L3),n/a,l3-type,"Row owned by KeyModeAnalyzerPreferences (key/mode, L3) or its bounds() map — analysistypes.h is L4-MIXED; this row is dispositioned by the L3 audit, not here."
118,branch|src/composing/analysis/chord/chordslicedecoder.cpp|845|1737,branch,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,845,if in classifyMembership,,SURVIVES,its guarded predicate,control flow only,classifyMembership,null/empty/range handled by the enclosing guard,,Branch (if) in classifyMembership: if (!present[pc]) { — straightforward guarded control flow; edge cases handled; no correctness issue observed.
119,literal|src/composing/analysis/chord/chordanalyzer.cpp|703|323,literal,oracle,src/composing/analysis/chord/chordanalyzer.cpp,703,12 in structuralPenalties,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing structuralPenalties,n/a (compile-time constant),,"Constant 12 in structuralPenalties: const int fifthPc = (rootPc + 7) % 12; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
120,function|src/composing/analysis/chord/chordslicedecoder.cpp|186|69,function,decoder,src/composing/analysis/chord/chordslicedecoder.cpp,186,adaptiveWindow(),,SURVIVES,its documented preconditions,its return value / out-params,callers within the module,empty/single-note/symmetric handled or guarded,,"Function adaptiveWindow(): live/dormant-surviving; premise music-theory/algorithm, documented; edges handled; SURVIVES."
121,literal|src/composing/analysis/chord/chordanalyzer.h|367|592,literal,oracle,src/composing/analysis/chord/chordanalyzer.h,367,0.0 in <file-scope>,no,ESTABLISHED,12-TET / definitional,a fixed constant,the enclosing <file-scope>,n/a (compile-time constant),,"Constant 0.0 in <file-scope>: double       verticalScore    = 0.0; — definitional (interval semitone / pc modulus / scale-degree index / enum ordinal / default init / semantic sentinel), FACT-grounded, not a hand-tuned fitting weight."
