process_order,row_id,kind,file,line,label,verdict,reasoning
106,literal|src/composing/analysis/section/jointkeydecision.cpp|82|697,literal,src/composing/analysis/section/jointkeydecision.cpp,82,3 in <file-scope>,ESTABLISHED,"min3 (3) of the Min7 template {0,3,7,10}; standard chord vocabulary."
107,literal|src/composing/analysis/types/analysistypes.h|829|927,literal,src/composing/analysis/types/analysistypes.h,829,2.0 in bounds,ESTABLISHED,"Upper bound for fifthWeight; default 0.50 in [0,2]. Consistent."
108,field|src/composing/analysis/types/analysistypes.h|183|1734,field,src/composing/analysis/types/analysistypes.h,183,ChordAnalyzerPreferences::bassRootThirdOnlyMultiplier,ESTABLISHED,ChordAnalyzerPreferences::bassRootThirdOnlyMultiplier=0.3 (documented range 0-1); live L4 chord scoring multiplier on the shared types leaf. L4 scope.
109,literal|src/composing/analysis/key/modepriorpresets.cpp|102|538,literal,src/composing/analysis/key/modepriorpresets.cpp,102,2.00 in modePriorPresets,ESTABLISHED,Baroque preset mode prior mixolydianB6=-2.00; empirical.
110,branch|src/composing/analysis/region/regionanalyzer.cpp|313|1269,branch,src/composing/analysis/region/regionanalyzer.cpp,313,if in restampBassMinorSeventhAfterMerge,SURVIVES,restampBassMinorSeventhAfterMerge skips when the region has no distinct bass (bPc<0 || bPc==rPc); correct guard.
111,literal|src/composing/analysis/section/cadencekeyanchor.cpp|152|660,literal,src/composing/analysis/section/cadencekeyanchor.cpp,152,0.0 in aggregateGlobalAnchor,ESTABLISHED,Else-branch (no structural bonus) of the salience-weight ternary in aggregateGlobalAnchor; inert zero.
112,branch|src/composing/analysis/region/regionanalyzer.cpp|241|1266,branch,src/composing/analysis/region/regionanalyzer.cpp,241,if in absorbShortRegions,SURVIVES,absorbShortRegions early-returns with <=1 region (nothing to absorb); correct.
113,field|src/composing/analysis/key/keymodesequence.h|163|1572,field,src/composing/analysis/key/keymodesequence.h,163,SliceKeyMode::uncertain,PUBLISHED,SliceKeyMode::uncertain — low-margin flag (confidence<uncertainThreshold); consumed by reach-back leadKey's settled-test and left for the later gated step. Published.
114,literal|src/composing/analysis/key/keymodesequence.cpp|65|442,literal,src/composing/analysis/key/keymodesequence.cpp,65,12 in cofDistance,ESTABLISHED,((pc%12)+12)%12 normalization in cofDistance; standard.
115,branch|src/composing/analysis/section/jointkeydecision.cpp|381|1421,branch,src/composing/analysis/section/jointkeydecision.cpp,381,if in decideJointKey,SURVIVES,Half-open span-covers-region test for the modulationContributed provenance flag; correct.
116,branch|src/composing/analysis/key/keyresolver.cpp|316|1241,branch,src/composing/analysis/key/keyresolver.cpp,316,if in resolveKeyAndModeRanked,SURVIVES,Diagnostic-only write (dumpOut->lookaheadBeatsUsed) guarded by dumpOut; byte-identical on production (nullptr). Correct.
