process_order,row_id,population,kind,file,line,label,in_param_manifest_hint,verdict,assumes,publishes,consumers,edges,flag,reason,source
59,function|tools/dcml_parser.py|658#0,instrument_core,function,tools/dcml_parser.py,658,_build_wir_index(),,SURVIVES,each Chorales/<folder>/remote.json lists music21 corpus paths whose basename (minus .mxl) is the bwv stem mapping to that folder's analysis.txt.,bwv_stem -> analysis.txt index (cached).,find_wir_file (l.698) -> score_corpus_wir WiR coverage.,"Requires both remote.json AND analysis.txt to exist (l.677) else folder skipped. Establishment: coverage is reported explicitly downstream so an incomplete index surfaces as reduced covered/total, not a silent /total.",none,Stem-to-annotation index builder; drops are surfaced via the coverage denominator.,blind-reader:g2a_core1
60,branch|tools/batch_analyze.cpp|4112#0,harness,branch,tools/batch_analyze.cpp,4112,else-if in main,,SURVIVES,--key-in-both supplies an emission-weight override.,sets ovInBoth (optional<double>).,applied at 4361 (if ovInBoth → decodeKeyPrefs.scaleScoreInBoth) on the --decode-keymode path.,stored as optional and applied only when present; no silent ignore.,none,Arg parsed and consumed.,blind-reader:g4_harness
61,branch|tools/batch_analyze.cpp|2611#0,harness,branch,tools/batch_analyze.cpp,2611,if in runReachBackAB,,SURVIVES,a differing analysis should increment the changed counter.,changed count into changedCount JSON.,the --reachback-ab summary.,increments only when sameAnalysis returned false.,none,Correct changed-range tally.,blind-reader:g4_harness
62,branch|src/composing/analysis/function/functionresolver.cpp|428#0,dormant_resolver,branch,src/composing/analysis/function/functionresolver.cpp,428,if in attemptFineGrainOverride,,SURVIVES,the established next function is a valid correction candidate for a contradicted commit.,none (appends the next-neighbour's verbatim chosen identity to the override candidate pool).,internal to attemptFineGrainOverride().,no established next -> pool = alternatives (+prev only).,none,"Adds the neighbouring committed harmony as-is to a closed selection pool (§5.5 case-4, no synthesis); correct.",blind-reader:g1a_resolver
63,branch|src/composing/analysis/function/functionrelationallabel.cpp|93#0,dormant_resolver,branch,src/composing/analysis/function/functionrelationallabel.cpp,93,if in augSixthSpellingSign,,SURVIVES,line-of-fifths distance +10 from the root == augmented sixth (Ger6/It6/Fr6 spelling).,sign +1 (aug6).,tryAugmentedSixth (sign==1 gate).,the sibling dist==-2 returns -1 (minor seventh); any other spelling of that pc -> -1.,none,Correct spelling test: aug6 is +10 on the line of fifths; distinguishes Ger6 from V7 by notated spelling.,blind-reader:g1b_cadence
64,crosslayer|tools/run_bach_preset.py|32#0,instrument_core,crosslayer,tools/run_bach_preset.py,32,include compare_analyses -> instrument,,SURVIVES,compare_analyses is the single shared comparison instrument (load/compare/summarize/chord-identity).,none (import).,_process_one uses cmp.compare_files/summarize/chord_identity_agreement; MANIFEST kept in sync with characterise_bir_false.MANIFEST_NAME.,Total-unification-conformant reuse of the pinned comparison logic; no re-implementation.,none,Legitimate shared-instrument import.,blind-reader:g2b_core2
65,branch|tools/compare_rn.py|285#1,instrument_core,branch,tools/compare_rn.py,285,ternary in _our_key_tonic,,FACT,single accidental (#/b) shifts tonic PC by +/-1; letter->PC via _KB_NOTE_OURS (12-TET).,"our (tonic_pc, is_major) for the key_disagree S1/S2 split.","_our_key_tonic -> key_disagree_subtag, score_regions keyparse_fail.","_KB_OURS_KEY_RE constrains acc to [#b]? (single), so the ternary covers all matched inputs. Double-accidental our-keys don't occur. Correct.",none,Structural accidental-to-semitone arithmetic (12-TET fact).,blind-reader:g2a_core1
66,branch|tools/batch_analyze.cpp|4075#0,harness,branch,tools/batch_analyze.cpp,4075,else-if in main,,SURVIVES,--seq-relative-extra supplies a numeric override for the relative-pair extra cost.,sets seqPrefs.relativePairExtraCost.,runKeyModeDecode (4363) → KeyModeSequenceDecoder; field used at keymodesequence.cpp:238.,parsed with error-checked toDouble; actually feeds the transition cost.,none,Arg parsed and consumed downstream (grep-verified).,blind-reader:g4_harness
67,branch|tools/analyze_inversion_errors.py|192#0,instrument_grading_fitting,branch,tools/analyze_inversion_errors.py,192,if in main,,SURVIVES,total_genuine (three-way music21+DCML-agree count) may be 0 on a corpus with no WiR coverage.,guards the printed three-way bassIsRoot breakdown percentages.,stdout diagnostic (run via `python tools/analyze_inversion_errors.py`); human/report only.,"percent divisors below use max(1,total_genuine), so this guard is display-cleanliness, not div-by-zero protection.",none,Live control-flow guard around optional reporting; no measurement effect.,blind-reader:g3_grading
68,branch|tools/batch_analyze.cpp|883#0,harness,branch,tools/batch_analyze.cpp,883,if in writeKeyCandidateDump,,SURVIVES,"array entries are emitted conditionally (only matched regions), so a firstEmitted flag is needed rather than index compare.",JSON comma separator in key_candidate_dump.,the --dump-key-candidates JSON (diagnostic).,firstEmitted correctly handles the sparse (conditional) emission — an index compare would be wrong here.,none,Correct JSON separator for conditionally-emitted array elements.,blind-reader:g4_harness
69,branch|tools/dcml_parser.py|409#0,instrument_core,branch,tools/dcml_parser.py,409,if in _resolve_dcml_key,,SURVIVES,a localkey matching ^[A-Ga-g][#b]?$ is an absolute key used directly; otherwise it is a Roman numeral relative to globalkey.,resolved absolute local key for rooting.,_resolve_dcml_key -> _resolve_effective_dcml_key / rntxt path.,"Accidental class is [#b]? (single) vs compare_rn's _KB_DCML_KEY_RE which allows [#b]*; double-accidental keys do not occur in the DCML corpora, so this never misroutes a real key. A double-accidental would fall through to the RN branch and then to the globalkey fallback (l.428).",none,Absolute-vs-relative localkey discriminator; single-accidental scope is sufficient for the corpora.,blind-reader:g2a_core1
70,literal|tools/stage5_fit_driver.py|77#0,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,77,0.1 in <module-scope>,yes,ESTABLISHED,kSus4FlatThirdFactor baseline value mirrors the production chordanalyzer.cpp constant.,the fitter's baseline value for the kSus4FlatThirdFactor override name.,baseline_value / write_override / fixture identity vector.,"recorded in tools/param_manifest.json (site chordanalyzer.cpp:95, value 0.10, family continuous, status fit); fixture mode proves the identity vector reproduces the ratified baseline (drift would MISMATCH).",none,Config-table parameter value with param_manifest provenance + reproduce-check fixture; established.,blind-reader:g3_grading
71,branch|tools/music21_batch.py|457#0,instrument_grading_fitting,branch,tools/music21_batch.py,457,if in run_batch,,SURVIVES,the SATB chorale filter applies only when composer=='bach'.,gates the _is_bach_chorale filter + reject-reason accounting.,run_batch accepted/rejected tallies.,non-bach composers bypass the filter by design.,none,Correct composer-scoped filter guard.,blind-reader:g3_grading
72,literal|tools/batch_analyze.cpp|1387#0,harness,literal,tools/batch_analyze.cpp,1387,6 in writeRegionKeyMarginJson,no,ESTABLISHED,keySigmoid must reproduce the standard .ours.json keyConfidence field.,keySigmoid = normalizedConfidence at precision 6.,the C1 reliability harness (--dump-region-keymargin).,"standard writeJson emits keyConfidence via fmtDouble default precision=6 (lines 1457/1501); the explicit 6 here matches, so the self-validation join is exact.",none,Precision 6 matches the standard emission default; consistent by design.,blind-reader:g4_harness
73,field|src/composing/analysis/function/tonicizationlabeler.h|73#0,dormant_resolver,field,src/composing/analysis/function/tonicizationlabeler.h,73,TonicizationRegionInput::startTick,,SURVIVES,raw region start tick provenance.,region onset tick on the input POD.,not read by labelTonicizations (which reads root/quality/seventh/mask/key); a caller-populated provenance field.,default 0.,none,"Input-view provenance field, part of the region contract; unread by the labeler but harmless and conventional. Not trapped (input, not a produced fact).",blind-reader:g1b_cadence
74,branch|tools/batch_analyze.cpp|1234#0,harness,branch,tools/batch_analyze.cpp,1234,ternary in writeTonicizationJson,,SURVIVES,labels may be empty; a non-empty array needs a trailing newline+indent before ']'.,closing-bracket layout of the tonicizations array.,the --dump-tonicization JSON.,empty-vs-nonempty ternary keeps the JSON well-formed in both cases.,none,Correct empty-array layout guard.,blind-reader:g4_harness
75,branch|tools/batch_analyze.cpp|2887#0,harness,branch,tools/batch_analyze.cpp,2887,ternary in runVlDump,,SURVIVES,span.ranked fully enumerated.,JSON separator between ranked ClassFit entries.,the --dump-vl textureClass.ranked array.,"i==0 empty else ', ' inline separator.",none,Correct array separator.,blind-reader:g4_harness
76,field|tools/compare_analyses.py|57#0,instrument_core,field,tools/compare_analyses.py,57,Region::key_confidence,,SURVIVES,our JSON emits keyConfidence (float); mirrors the batch_analyze schema.,PUBLISHED — carries our key confidence into the Region model.,"Read by external instruments: characterise_bir_false.py:203, cc_layer3_keymode_baseline.py:472/803, cc_uncertain_resolver_inspect.py:47, analyze_iter90_regressions.py:100.","Not consumed inside compare_analyses.py itself, but is consumed by sibling instruments via load_analysis(); a passive schema mirror, not a derived fact. Defaults to 0.0 when absent.",none,"Data-carrier schema field, consumed downstream; not siloed.",blind-reader:g2a_core1
77,branch|tools/stage5_fit_driver.py|668#0,instrument_grading_fitting,branch,tools/stage5_fit_driver.py,668,if in main,,SURVIVES,a 'clamped0' step label means a down-perturbation floored at the base value (no actual change).,records objective_delta=0 for a clamped-at-zero perturbation without re-evaluating.,screen-mode ledger rows.,"correct short-circuit: base==perturbed => delta 0 by construction, avoids a redundant regen.",none,Correct clamped-perturbation short-circuit; sound optimization of a no-op eval.,blind-reader:g3_grading
78,field|src/composing/analysis/function/functionprogression.h|140#0,dormant_resolver,field,src/composing/analysis/function/functionprogression.h,140,ProgressionSlice::committed,,SURVIVES,an L4 Commit/Inherit vs an abstain.,commit status per slice.,prevailingHarmonyIndex and establishedNextFunctionIndex both read it.,default false.,none,Consumed control field. Correct.,blind-reader:g1b_cadence
79,branch|src/composing/analysis/function/functionrelationallabel.cpp|324#0,dormant_resolver,branch,src/composing/analysis/function/functionrelationallabel.cpp,324,if in classifyRelationalLabel,,SURVIVES,augmented-sixth has the highest precedence in the §5.6 fixed-precedence classifier,none (control flow; returns the aug6 label when it fires),internal to classifyRelationalLabel,a6.role==None -> falls through to the Neapolitan trial,none,first arm of the §5.6 fixed-precedence relational classifier (aug6 tried first); clean C++17 if-init; supplied by the second reader (its blind-reader missed this one row),second-reader
80,branch|src/composing/analysis/function/functionresolver.cpp|573#0,dormant_resolver,branch,src/composing/analysis/function/functionresolver.cpp,573,if in isCutDecision,,SURVIVES,a cadence whose arrival lands at/after slice i's end closes the decision-context span (stop (i)).,none (short-circuits isCutDecision to 'not cut').,isCutDecision() -> firstCutSelectionSlice() in the dormant forward-extension loop.,any forward cadence anchor -> not cut; none + no next-function + within K/B -> cut.,none,"Correct realization of the §5 stop (i) for the bounded-context extension; dormant (default OFF), byte-identical to base resolver.",blind-reader:g1a_resolver
81,branch|tools/compare_analyses.py|943#0,instrument_core,branch,tools/compare_analyses.py,943,ternary in print_report,,SURVIVES,cr.theirs may be None (unaligned); em-dash placeholder for display.,nothing (stdout report text).,print_report human output only.,Presentation-only ternary; no metric effect.,none,Display formatting guard for None theirs.,blind-reader:g2a_core1
82,field|src/composing/analysis/progression/progressionrecognizer.h|258#0,dormant_resolver,field,src/composing/analysis/progression/progressionrecognizer.h,258,HarmonicSequence::startTick,,SURVIVES,covered tick range of a recognised harmonic sequence.,PUBLISHED - sequence start tick (§4.6 key-evidence output).,set in recognizeProgressions (hs.startTick = progression[first.spanStart].startTick); part of the always-emitted sequences vector; read by the dump/tests.,default 0.,none,Legitimate output field of the §4.6 harmonic-sequence record. Correct.,blind-reader:g1b_cadence
83,field|src/composing/analysis/function/functionresolver.h|109#0,dormant_resolver,field,src/composing/analysis/function/functionresolver.h,109,ResolverKey::keyMode,,SURVIVES,default region key mode is Ionian/major until mapped from L3 HarmonicRegion::keyModeResult at engage.,the region key mode fed to diatonicDegreeForRootPc for the §5.7 degree prior.,bassScaleDegreeBias() / rootFunctionalBias().,default Ionian; hand-injected in tests.,none,Legitimate key-context field mapping directly from the L3 region key; correct default.,blind-reader:g1a_resolver
84,literal|src/composing/analysis/progression/progressionrecognizer.cpp|43#0,dormant_resolver,literal,src/composing/analysis/progression/progressionrecognizer.cpp,43,0.0 in maxWeightOverIdioms,no,ESTABLISHED,weights are non-negative; 0 is the identity for a max-accumulator and the empty-set result.,initial 'best' accumulator.,maxWeightOverIdioms (returns any?best:0.0).,guarded by the 'any' flag so an all-zero non-empty set still returns its max (0).,none,"0.0 accumulator/initializer, structural. Not a tuned value.",blind-reader:g1b_cadence
85,branch|tools/run_bach_preset.py|129#0,instrument_core,branch,tools/run_bach_preset.py,129,ternary in _find_batch_analyze,,SURVIVES,batch_analyze lives at a hint or one of the known ninja_build(_rel) locations.,none.,main() exe; a None result triggers the fail-loud at line 363.,"Ternary prepends the optional hint; returns None if nothing exists — handled loudly downstream, not silently.",none,Exe discovery with explicit downstream None-handling.,blind-reader:g2b_core2
86,literal|src/composing/analysis/function/functionoutput.cpp|61#0,dormant_resolver,literal,src/composing/analysis/function/functionoutput.cpp,61,0.0 in licensedFitForUnit,no,ESTABLISHED,the motion INTO the region's first committed unit has no preceding committed harmony and is therefore unscored.,the licensed-progression-fit sentinel (0.0) for a unit with no committed predecessor.,assembleFunctionOutput() -> u.confidence.licensedProgressionFit.,i==0 or no earlier committed unit (loop body never runs) -> 0.0; correct.,none,"Structural sentinel 0.0 (boolean fit floor), correctly not in manifest (hint 'no' verified); semantically justified by the comment.",blind-reader:g1a_resolver
87,branch|tools/music21_batch.py|181#0,instrument_grading_fitting,branch,tools/music21_batch.py,181,try in analyze_chorale,,SURVIVES,score.analyze('key') may raise; fallback to None key / 0.0 confidence.,global-key + confidence with graceful degradation.,detectedKey/keyConfidence + local-key default in the emitted JSON.,"failure yields explicit 'unknown' key downstream, not a silently wrong key; corroboration oracle only.",none,Defensive try around music21 key analysis; degrades explicitly.,blind-reader:g3_grading
88,branch|tools/characterise_bir_false.py|149#0,instrument_core,branch,tools/characterise_bir_false.py,149,try in run,,SURVIVES,a WiR file that exists but fails to parse should be treated as no-coverage.,"wir_coverage (printed), and the resulting BIR=false residual set (this is a diagnostic, NOT the governing hard stop).",run() coverage print + case enumeration (human-read diagnostic).,"SILENT-FAILURE: `except Exception: pass` is over-broad — any WiR parse exception (not just absence) is swallowed and the score silently drops from coverage. wir_coverage is printed but NOT reconciled against an expected WiR count, and validate_corpus_dir validates only .ours.json (WiR is unvalidated). A systematic dcml_parser breakage would silently shrink the residual set with no error. Same pattern exists in the governing a8 instrument (lines 304-308); a8 writes wir_covered to the manifest but robust_stop_diff does not compare candidate wir_coverage to the reference, so there a WiR breakage could lower class-(b) duration and PASS the non-increase stop falsely.","over-broad `except Exception: pass` at line 149 swallows all WiR-parse errors -> silent coverage reduction with no count reconciliation (low severity here: diagnostic tool, coverage is printed; the more serious twin is the identical swallow in a8 combined with robust_stop_diff not reconciling wir_coverage).","Genuine instance of the silent-failure pattern; scoped as low-severity because this is diagnostic tooling with printed coverage, but the broad swallow can mask a corrupt/breaking WiR parser.",blind-reader:g2b_core2
89,crosslayer|tools/oracle_root_metric.py|83#0,instrument_grading_fitting,crosslayer,tools/oracle_root_metric.py,83,include compare_analyses -> instrument,,SURVIVES,"compare_analyses is the shared alignment/classification instrument (load_analysis, three_way_classify, _dcml_time_spans).",imports the reused-verbatim comparison primitives (no fork).,run_preset/load_dir/classify use cmp.* throughout.,unification-respecting reuse (docstring: 'none of those modules is forked').,none,Legitimate cross-module import of a shared instrument; single path per concern.,blind-reader:g3_grading
90,literal|tools/stage5_fit_driver.py|130#2,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,130,0.45 in <module-scope>,no,ESTABLISHED,completeTriadInversionBonus Baroque/Default carrier value 0.45.,the per-preset fitter baseline for completeTriadInversionBonus.,"baseline_value(name, preset) via per_preset dict; fixture writes each carrier's value.","in_param_manifest_hint said 'no' but VERIFIED present in param_manifest.json (site analysistypes.h:243 bounds:437, per_preset Baroque/Default 0.45, Jazz 0.20, status fit) — the hint is a false negative; value is recorded with provenance.",none,Per-preset config-table value recorded in param_manifest; established despite the negative hint.,blind-reader:g3_grading
91,branch|src/composing/analysis/function/functionmodulation.cpp|153#0,dormant_resolver,branch,src/composing/analysis/function/functionmodulation.cpp,153,if in modulationRecompute,,SURVIVES,the injected reread std::function may be empty (dormant/test default) and must be null-checked before invocation.,none (guards the per-slice re-read callback inside the forward sweep).,internal to modulationRecompute()'s forwardRecompute lambda.,"empty reread -> slices still counted by forwardRecompute (count reflects sweep, not callback fires).",none,Correct null-guard for a hand-injectable callback; legitimate dormant scaffolding.,blind-reader:g1a_resolver
92,literal|src/composing/analysis/function/forwardoverride.h|81#0,dormant_resolver,literal,src/composing/analysis/function/forwardoverride.h,81,1.0 in <file-scope>,yes,ESTABLISHED,"none (direction-only firewall seed; only monotonicity in c is fixed, not the magnitude).",default contradiction bar at zero earlier-confidence; the §8 case-4 threshold intercept.,overrideBar() -> overrides()/tryOverride() across resolver + modulation channels.,n/a (a struct default initializer).,none,"Recorded in param_manifest.json (line 362, site forwardoverride.h:81, value 1.0, family theta, dormant). hint 'yes' verified; a 1.0 direction-only seed.",blind-reader:g1a_resolver
93,branch|tools/dcml_parser.py|679#0,instrument_core,branch,tools/dcml_parser.py,679,try in _build_wir_index,,SURVIVES,a folder whose remote.json fails to load/parse is skipped from the WiR index.,nothing (guards index population).,_build_wir_index per-folder loop.,"Broad 'except Exception: continue' over json.load + stem extraction. Per principle 19 this is a silent-failure surface (a malformed remote.json vanishes from the index), BUT the loss is not silent at the metric level: score_corpus_wir reports covered/total, so a systematic failure shows as low coverage (test_metric_primitives asserts coverage counting). It affects coverage, never the root/RN/key metric values. Mitigated, not load-bearing on the measured figure.",none,"Broad per-folder except, but drops are exposed via the reported coverage denominator; not a hidden metric corruption.",blind-reader:g2a_core1
94,literal|src/composing/analysis/function/functioncadence.h|128#1,dormant_resolver,literal,src/composing/analysis/function/functioncadence.h,128,12 in pc,no,ESTABLISHED,12 semitones per octave.,pitch class of a MIDI pitch.,eventHasPc/voiceMovesFromTo pc comparisons.,((pitch%12)+12)%12 handles negatives.,none,"Structural pitch-class modulus (12), not a tuned magic number. in_param_manifest_hint 'no' is correct.",blind-reader:g1b_cadence
95,literal|src/composing/analysis/function/functionoutput.h|104#0,dormant_resolver,literal,src/composing/analysis/function/functionoutput.h,104,1.0 in <file-scope>,no,ESTABLISHED,"none (direction-only firewall seed; each §7 combination weight is non-negative, magnitude precision-phase).",default weight of the §5.0 licensed-progression-fit confidence component.,assembleFunctionOutput() -> u.confidence.combined.,n/a (struct default 1.0).,"The three §7 combination-weight seeds wCadenceVote/wLicensedFit/wNextBestMargin (functionoutput.h:103-105) are NOT recorded in param_manifest.json, though the sibling kBoundary from the same struct IS — a manifest-completeness gap.","Value itself is a benign untuned dormant 1.0 seed (ESTABLISHED, hint 'no' verified); flagged only for the manifest omission of the combination weights vs their recorded sibling kBoundary.",blind-reader:g1a_resolver
96,function|tools/run_bach_preset.py|145#0,instrument_core,function,tools/run_bach_preset.py,145,_to_win_path(),,SURVIVES,"a resolved drive-letter forward-slash path is openable by native batch_analyze.exe regardless of MSYS_NO_PATHCONV state, and is analysis-neutral.",none (path formatter for exe args).,_run_batch_analyze bash-cmd construction.,"Carries a load-bearing correctness claim ('byte-identical JSON') but it is well-justified and documented: the exe records only the score basename, so the arg form cannot affect output. No stamping needed (path form, not a measurement).",none,"Correct, well-documented path-conversion fix; analysis-neutral by construction.",blind-reader:g2b_core2
97,literal|src/composing/analysis/function/functionrelationallabel.cpp|93#0,dormant_resolver,literal,src/composing/analysis/function/functionrelationallabel.cpp,93,10 in augSixthSpellingSign,no,ESTABLISHED,an augmented sixth interval spans +10 perfect-fifth steps on the line of fifths.,the aug6 discriminator threshold.,augSixthSpellingSign.,paired with -2 (minor seventh); both are exact interval-spelling constants.,none,"Structural/derivable line-of-fifths interval constant (aug6 = +10 fifths), not a tuned magic number. Comment is accurate.",blind-reader:g1b_cadence
98,branch|tools/batch_analyze.cpp|2965#0,harness,branch,tools/batch_analyze.cpp,2965,case in fsResolutionBasisName,,SURVIVES,analysis::ResolutionBasis::Progression maps to its stable string label.,resolutionBasis name in the --dump-fullspine JSON.,the fullspine dump readers.,one arm of a complete enum-to-string map (None fallthrough).,none,Correct enum-to-name mapping arm.,blind-reader:g4_harness
99,branch|src/composing/analysis/function/functionresolver.cpp|260#0,dormant_resolver,branch,src/composing/analysis/function/functionresolver.cpp,260,if in resolveAbstained,,SURVIVES,unequal cadence votes are decisive; equal votes (including both zero) decide nothing.,"picks the higher-vote tonic with confidence max(voteA,voteB).",internal to the RelativePair arm.,"voteA==voteB (both 0 = no cadence evidence) -> falls to tieBreakOrOpen, correctly does NOT pick on zero evidence.",none,Correct strict-inequality tie handling; no pick on absent/equal evidence. No off-by-one or float-equality hazard beyond the intended exact-tie fallthrough.,blind-reader:g1a_resolver
100,branch|tools/batch_analyze.cpp|3490#0,harness,branch,tools/batch_analyze.cpp,3490,ternary in runFullSpine,,SURVIVES,out5.units may be shorter than the slice count.,nothing (safe bounds fallback).,the per-slice FunctionConfidence in runFullSpine.,bounds-check with default-constructed FunctionConfidence fallback.,none,Correct bounds-guard ternary.,blind-reader:g4_harness
101,function|tools/music21_batch.py|152#0,instrument_grading_fitting,function,tools/music21_batch.py,152,_normalize_quality(),,SURVIVES,music21 quality strings map onto our quality category names; unknown -> 'Unknown' (explicit).,the region 'quality' field of the music21 corroboration JSON.,"compare_analyses / oracle_root_metric read .music21.json but the governing comparison is root_pc; _infer_quality in analyze_inversion_errors reads OUR chordSymbol, not this field.","dominant-/major-/minor-seventh are deliberately collapsed to their triad quality (documented comment 'dominant 7th has a major triad'); would misrepresent 7th quality IF a consumer used m21 quality as a quality oracle, but none does (root governs).",none,Documented normalization for a corroboration-only field; unmapped -> explicit 'Unknown' (no silent failure).,blind-reader:g3_grading
102,branch|tools/compare_rn.py|209#0,instrument_core,branch,tools/compare_rn.py,209,if in extract_quality,,SURVIVES,"within a lowercase (minor-coloured) degree, a seventh figure => Min7 else Min (MinMaj7 handled above).",part of extract_quality's token.,extract_quality return path.,Reached only after dim/half-dim/aug/majm7 checks; correct minor-triad-vs-seventh split.,none,Correct terminal branch of the coarse-quality decision tree.,blind-reader:g2a_core1
103,branch|src/composing/analysis/function/functioncadence.cpp|149#0,dormant_resolver,branch,src/composing/analysis/function/functioncadence.cpp,149,ternary in isGenuineDominant,,SURVIVES,"the arrival triad quality encodes the tonic mode: minor arrival => minor third (tonicPc+3), else major third (tonicPc+4).",local thirdPc for the 4-hat->3rd tritone-resolution leg.,internal to isGenuineDominant (voiceMovesFromTo target).,tonicPc validity guarded by callers (arr.rootPc>=0 checked upstream in tryAuthentic).,none,Correct music theory: the mode of the tonic third is read off the arrival triad; the tritone (7-hat & 4-hat) resolves to root & third. Legitimate branch.,blind-reader:g1b_cadence
104,branch|tools/batch_analyze.cpp|2570#0,harness,branch,tools/batch_analyze.cpp,2570,if in runReachBackAB,,SURVIVES,a measure could have zero/negative tick length (degenerate).,nothing (guards range emplace).,the ranges vector in runReachBackAB.,b>a rejects empty ranges before they enter the A/B set.,none,Correct non-empty-range guard.,blind-reader:g4_harness
105,branch|tools/calibration_fit.py|102#0,instrument_grading_fitting,branch,tools/calibration_fit.py,102,ternary in collect_l3,,SURVIVES,"cell key_verdict is one of {agree, disagree, keyfail, dcml_keyfail}; keyfail/dcml_keyfail already filtered above, so else == genuine key-disagree.",the per-cell binary correctness label feeding the isotonic/Platt fit.,fit_isotonic/fit_platt via collect_l3 -> fit_row.,"an unexpected verdict string would map to 0.0 (incorrect), but the verdict vocabulary is closed and controlled by cmp/a8.",none,"Correct binary correctness mapping (key respect) for the reliability fit; DCML/WiR is the adjudicator, music21 corroboration only (LICENSE_LINE).",blind-reader:g3_grading
106,literal|tools/stage5_fit_driver.py|120#0,instrument_grading_fitting,literal,tools/stage5_fit_driver.py,120,0.3 in <module-scope>,yes,ESTABLISHED,diatonicRootBonus baseline mirrors the analysistypes.h prefs default.,the fitter baseline for diatonicRootBonus.,baseline_value / fixture identity vector.,"recorded in param_manifest.json (site analysistypes.h:191 bounds:431, value 0.30, status fit); reproduce-check fixture guards drift.",none,Recorded config-table value with manifest provenance.,blind-reader:g3_grading
107,literal|tools/a8_rebaseline_measure.py|77#0,instrument_core,literal,tools/a8_rebaseline_measure.py,77,12 in _pcs,no,ESTABLISHED,pitch-class bitmap is 12-bit (chromatic octave); bit i set == pc i present.,none (helper _pcs decodes a bitmap to a pc-set for cell_class).,cell_class / _is_halfdim_or_min6_set within a8_rebaseline_measure.py.,"12 = number of chromatic pitch classes; structural modulus, not a tuned magnitude. Correctly absent from param_manifest.",none,Derivable structural constant (12 semitones). in_param_manifest_hint=no is correct.,blind-reader:g2b_core2
108,branch|tools/oracle_root_metric.py|391#0,instrument_grading_fitting,branch,tools/oracle_root_metric.py,391,for in emit_json,,SURVIVES,results is a list of per-preset result dicts.,drives per-preset serialization of case-identity sets.,emit_json output.,none.,none,Serialization loop; reachable and used.,blind-reader:g3_grading
109,branch|tools/dcml_parser.py|427#0,instrument_core,branch,tools/dcml_parser.py,427,if in _resolve_dcml_key,,SURVIVES,a localkey that is neither absolute nor a parseable degree cannot be resolved => fall back to globalkey.,globalkey fallback for unparseable localkey.,_resolve_dcml_key.,"Documented fallback ('If resolution fails, falls back to globalkey'). This is a declared default, not a hidden swallow — most rows carry no modulation so globalkey is the correct base. A mis-rooted rare case would surface as a root_err, not vanish. Wrapped by the outer except->globalkey (l.451) too.",none,Declared globalkey fallback for unparseable local key; not a silent-failure hole.,blind-reader:g2a_core1
110,field|tools/compare_rn.py|689#0,instrument_core,field,tools/compare_rn.py,689,WirCoverage::covered,,PUBLISHED,covered = ours files with a resolvable+parseable WiR analysis.txt.,PUBLISHED — the coverage numerator preventing a silent /total division.,"score_corpus_wir (l.721 increment), main WiR report (l.892-894), test_metric_primitives_l0l1.py:273 ('never /2 silently').",Explicitly reported as covered/total so uncovered chorales (no WiR annotation) are never folded into a /353 rate — directly addresses a no-information-loss concern. Test-pinned.,none,Coverage-denominator field guarding against silent division; consumed and test-covered.,blind-reader:g2a_core1
111,field|src/composing/analysis/function/functionmodulation.h|137#0,dormant_resolver,field,src/composing/analysis/function/functionmodulation.h,137,ModulationDecision::startTick,,SURVIVES,a modulation span has an integer start tick (default 0).,the candidate span's start tick as part of the emitted ModulationDecision record.,"set from span.startTick in decideTonicizationVsModulation; the engage re-key/region-span wiring + tests read the record (current dormant consumers read tonicPc/minorMode/cadentialWeight/isModulation, not d.startTick).",default 0; carried verbatim from the detector span.,none,"Plain location field of the dormant ModulationDecision contract; carried-not-yet-read is legitimate under the declared engage-wiring dormancy, not a TRAPPED fact.",blind-reader:g1a_resolver
112,function|src/composing/analysis/function/functionresolver.cpp|154#0,dormant_resolver,function,src/composing/analysis/function/functionresolver.cpp,154,resolveAbstained(),,SURVIVES,"L4 closed the candidate set (readingA/readingB + alternatives); L5 selects, never re-derives from notes.","the per-abstain ResolvedReading (selected reading + basis + confidence, or the honest open mark).",resolveCarriedReadings() Phase 1 + the fine-grain-override forward recompute; + tests. Dormant.,!hasReadingB or AmbiguityKind::None/default -> openMark; ties -> §5.7 prior then open mark.,none,"Per-kind selection-by-evidence with an honest open-mark fallthrough; selection-only (§2/D4), correct scaffolding.",blind-reader:g1a_resolver
113,literal|src/composing/analysis/function/functionprogression.cpp|35#0,dormant_resolver,literal,src/composing/analysis/function/functionprogression.cpp,35,12 in rootMotion,no,ESTABLISHED,12 semitones per octave.,"pitch-class interval in [0,11].",every root-motion predicate.,((toPc-fromPc)%12+12)%12 normalizes sign.,none,Structural pitch-class modulus. Correct.,blind-reader:g1b_cadence
114,branch|tools/batch_analyze.cpp|3488#0,harness,branch,tools/batch_analyze.cpp,3488,ternary in runFullSpine,,SURVIVES,res.readings may be shorter than the slice count.,nothing (safe bounds fallback).,the per-slice resolver reading in runFullSpine.,"bounds-check with default-constructed ResolvedReading fallback — no OOB read, no silent stale value.",none,Correct bounds-guard ternary.,blind-reader:g4_harness
