name,layer,liveness,decl_site,apply_site,form,constants,consumers,roster_factor,roster_factor_text,constants_in_param_manifest,constants_not_in_param_manifest,hand_verified,notes
regionMetricWeightForBeatType table,L1.5,live,src/composing/analysis/scoreharvest/metricweights.cpp:73-84,"src/composing/analysis/engravingbridge/regiontonecollector.cpp:158,168,229; src/composing/analysis/region/regionanalyzer.cpp:985",lookup table: DOWNBEAT 1.0 / STRESSED 0.85 / UNSTRESSED 0.75 / default 0.5,beatWeights=1.0/0.85/0.75/0.5 [hand-set table],region tone base weight,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,beatWeights,yes,"one of TWO metric-weight tables (#6 dup with beatTypeToWeight, OI-86)"
beatTypeToWeight (key-path beat weights),L1.5,live,src/composing/analysis/scoreharvest/metricweights.cpp:39-53; src/composing/analysis/types/analysistypes.h:816-822,"src/composing/analysis/engravingbridge/regiontoneprimitives.cpp:153,213","prefs-driven lookup: 7 beat-type weights (downbeat 1.0, stressed 0.7, unstressed 0.4, subbeat 0.2)",beatWeightDownbeat=1.0 [hand-set]; beatWeightCompoundStressed=0.7 [hand-set]; beatWeightSimpleStressed=0.7 [hand-set]; beatWeightCompoundUnstressed=0.4 [hand-set]; beatWeightSimpleUnstressed=0.4 [hand-set]; beatWeightCompoundSubbeat=0.2 [hand-set]; beatWeightSubbeat=0.2 [hand-set],key-path pitch context weighting,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,beatWeightCompoundStressed;beatWeightCompoundSubbeat;beatWeightCompoundUnstressed;beatWeightDownbeat;beatWeightSimpleStressed;beatWeightSimpleUnstressed;beatWeightSubbeat,yes,
timeDecay + span window,L1.5,live,"src/composing/analysis/scoreharvest/metricweights.h:57-60,104; src/composing/analysis/scoreharvest/metricweights.cpp:110-113","src/composing/analysis/engravingbridge/regiontoneprimitives.cpp:158,267; src/composing/analysis/key/keymodesequence.cpp:86-87",exponential decay decayRate^(beatsAgo/beatsPerUnit); lookahead notes weighted 0.5; window sizes 16/8 beats,DECAY_RATE=0.7 [hand-set]; LOOKAHEAD_WEIGHT=0.5 [hand-set]; LOOKBACK_BEATS=16 [hand-set]; LOOKAHEAD_BEATS=8 [hand-set],key-path pitch context; L3 decoder emission windows,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,DECAY_RATE;LOOKAHEAD_BEATS;LOOKAHEAD_WEIGHT;LOOKBACK_BEATS,yes,SpanWindowWeights defaults 0.7/0.5/4.0 are DT-3 value-copies (OI-86)
weightedPcView base weight + boosts,L1.5,live,src/composing/analysis/engravingbridge/regiontonecollector.cpp:236-314,src/composing/analysis/engravingbridge/regiontonecollector.cpp:381-390,tone.weight = (durationInRegion/regionDuration) x beat weight; then repetition boost x(1+0.3*(distinctOnsets-1)); cross-voice boost x1.5; normalized to sum 1,"repetitionBoost=0.3 [hand-set, inline]; crossVoiceBoost=1.5 [hand-set, inline]",ChordAnalysisTone.weight -> analyzeChord pcWeight,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,crossVoiceBoost;repetitionBoost,yes,OI-86/OI-87 constants; loudness never enters (OI-58 residue)
pedal-tail carry,L1.5,live,"src/composing/analysis/engravingbridge/regiontonecollector.cpp:151,316-341; src/composing/analysis/types/analysistypes.h:325",src/composing/analysis/engravingbridge/regiontonecollector.cpp:334,sustain-pedal tail contribution: (tailDuration/regionDuration) x attack beat weight x multiplier; gather window 4 whole notes back,"pedalTailWeightMultiplier=0.3 [hand-set]; backWindowWholeNotes=4 [hand-set, inline]",tone.weight,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,pedalTailWeightMultiplier,backWindowWholeNotes,yes,"flat discount, no decay (OI-58 item 5)"
dense-start lookahead exclusion,L1.5,live,"src/composing/analysis/engravingbridge/regiontonecollector.cpp:206,220,280",src/composing/analysis/engravingbridge/regiontonecollector.cpp:220,hard: >=3 pcs sounding at region start (batch path only) -> notes onsetting after start dropped,"denseStartPcBar=3 [hand-set, inline]",tone collection,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,denseStartPcBar,yes,D1 divergence: batch true / bridge false (intentional)
phrase-boundary view (silence/marker detector),L1.5,dormant,src/composing/analysis/engravingbridge/phraseboundaryview.h:82-115,src/composing/analysis/engravingbridge/phraseboundaryview.cpp:368-456,per-voice surface strength wGap*gap+wInterOnset*ioi+wPitch*pitch; peak when > mean + k*SD; markers (fermata/barline/rest>=240 ticks) spike at 1.5x ceiling,wGap=0.50 [hand-set]; wInterOnset=0.30 [hand-set]; wPitch=0.20 [hand-set]; k=1.0 [hand-set]; tauTicks=0 [hand-set]; coincidenceWeight=0.0 [hand-set]; minSilenceTicks=240 [hand-set]; spikeCeilingFactor=1.5 [hand-set],gated OFF (jointKeyWiring),F8,fermatas + phrase facts -> segment-boundary and cadence-location priors,,coincidenceWeight;k;minSilenceTicks;spikeCeilingFactor;tauTicks;wGap;wInterOnset;wPitch,yes,the ONLY term surface for F8; fermatas enter only as generic markers
spelling view (line-of-fifths facts),L1.5,dormant,src/composing/analysis/engravingbridge/spellingview.cpp:36-76,src/composing/analysis/chord/chordslicedecoder.cpp:553,"structural fact extraction: lineOfFifths(tpc), sharp/flat sense, span centroid; no tunable constants",structural,dormant decoder spelling pin only,F3,notated spelling + accidentals -> spelling-conditioned emission + mode disambiguation,,,yes,no live L3 consumer — L3 emission is spelling-blind
L3 note weighting,L3,live,src/composing/analysis/types/analysistypes.h:606-610; src/composing/analysis/key/keymodeanalyzer.cpp:228-233,src/composing/analysis/key/keymodeanalyzer.cpp:228-233,"multiplicative per note: min(duration x beat, cap) x bassMultiplier if bass",noteWeightCap=3.0 [hand-set]; bassMultiplier=2.0 [hand-set],all L3 emission components,F7,beat strength / metric position -> emission weighting + chord-change-on-strong-beat prior,,bassMultiplier;noteWeightCap,yes,
scale-membership scoring (4-way),L3,live,src/composing/analysis/types/analysistypes.h:619-622; src/composing/analysis/key/keymodeanalyzer.cpp:238-261,src/composing/analysis/key/keymodeanalyzer.cpp:255-258,additive per note by (in candidate scale) x (in signature scale): 1.00 / 0.25 / -0.20 / -0.05,scaleScoreInBoth=1.00 [hand-set]; scaleScoreInCandidateOnly=0.25 [hand-set]; scaleScoreInKeySigOnly=-0.20 [hand-set]; scaleScoreInNeither=-0.05 [hand-set],emission score,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,scaleScoreInBoth;scaleScoreInCandidateOnly;scaleScoreInKeySigOnly;scaleScoreInNeither,yes,the collection-membership emission (key axis)
triad/tonal-centre evidence,L3,live,src/composing/analysis/types/analysistypes.h:630-639; src/composing/analysis/key/keymodeanalyzer.cpp:265-313,src/composing/analysis/key/keymodeanalyzer.cpp:297-310,additive: tonic/third/fifth/leading-tone weighted presence + complete-triad bonus or missing-tonic penalty + capped extra-scale term,tonicWeight=1.60 [hand-set]; thirdWeight=0.70 [hand-set]; fifthWeight=0.50 [hand-set]; leadingToneWeight=0.40 [hand-set]; completeTriadBonus=2.50 [hand-set]; missingTonicPenalty=-2.50 [hand-set]; extraScaleFactor=0.10 [hand-set]; extraScaleCap=5.0 [hand-set],emission score,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,completeTriadBonus;extraScaleCap;extraScaleFactor;fifthWeight;leadingToneWeight;missingTonicPenalty;thirdWeight;tonicWeight,yes,
characteristic-pitch term,L3,live,src/composing/analysis/types/analysistypes.h:648-649; src/composing/analysis/key/keymodeanalyzer.cpp:321-355,src/composing/analysis/key/keymodeanalyzer.cpp:344-349,additive boost/penalty on presence/absence of the mode's distinguishing pitch (half boost when only one of two present),characteristicPitchBoost=1.80 [hand-set]; characteristicPitchPenalty=-0.60 [hand-set],emission score,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,characteristicPitchBoost;characteristicPitchPenalty,yes,mode-disambiguation term (K279 diagnosis implicated the presence threshold)
true leading-tone boost,L3,live,src/composing/analysis/types/analysistypes.h:659; src/composing/analysis/key/keymodeanalyzer.cpp:363-375,src/composing/analysis/key/keymodeanalyzer.cpp:363-375,additive when pc (tonic+11) present above 0.1,trueLeadingToneBoost=1.20 [hand-set],emission score,F4,"cadence votes + leading-tone events -> emission/transition factor on (tonic,mode) at cadences",,trueLeadingToneBoost,yes,a leading-tone EVENT reduced to presence (not resolution)
mode priors (21) + preset tables,L3,live,src/composing/analysis/types/analysistypes.h:671-695; src/composing/analysis/key/modepriorpresets.cpp:27-170,src/composing/analysis/key/keymodeanalyzer.cpp:378-407,additive per-candidate prior by mode; 5 named presets x 21 modes + app-default table override the fields,modePriorIonian=1.20 [preset-table]; modePriorAeolian=1.00 [preset-table]; modePriorAltered=-3.50 [preset-table]; (21 fields x 6 tables) [preset-table],emission score -> decode,F2,"notated signature + declared mode -> prior on (tonic, mode)",,modePriorAeolian;modePriorAltered;modePriorIonian,yes,OI-174/OI-147: the mode-vocabulary question lives here (21 modes x 12 tonics = 252 states)
key-signature proximity penalty,L3,live,src/composing/analysis/types/analysistypes.h:723; src/composing/analysis/key/keymodeanalyzer.cpp:411-420,src/composing/analysis/key/keymodeanalyzer.cpp:411-420,subtractive linear: -penalty x circle-of-fifths distance from notated signature,keySignatureDistancePenalty=0.60 [hand-set],emission score; ALSO the decoder's changePerFifthStep (shared symbol),F2,"notated signature + declared mode -> prior on (tonic, mode)",,keySignatureDistancePenalty,yes,
tonal-centre comparison (family-winner),L3,live,"src/composing/analysis/types/analysistypes.h:709-714; src/composing/analysis/key/keymodeanalyzer.cpp:429-441,670-688",src/composing/analysis/key/keymodeanalyzer.cpp:670-688,secondary weighted score deciding relative-pair family winner when delta > threshold,tonalCenterTonicWeight=2.20 [hand-set]; tonalCenterThirdWeight=1.00 [hand-set]; tonalCenterFifthWeight=0.70 [hand-set]; tonalCenterLeadingTone=0.50 [hand-set]; tonalCenterTriadBonus=2.00 [hand-set]; tonalCenterDeltaThreshold=0.25 [hand-set],winner selection,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,tonalCenterDeltaThreshold;tonalCenterFifthWeight;tonalCenterLeadingTone;tonalCenterThirdWeight;tonalCenterTonicWeight;tonalCenterTriadBonus,yes,relative major/minor disambiguation — the measured weak axis
pairwise relative-pair disambiguation,L3,live,src/composing/analysis/types/analysistypes.h:733-735; src/composing/analysis/key/keymodeanalyzer.cpp:455-488,src/composing/analysis/key/keymodeanalyzer.cpp:632,post-hoc additive mutation on top-2 same-signature candidates (complete-triad vs no-tonic; only-tonic),disambiguationTriadBonus=4.50 [hand-set]; disambiguationTriadCost=1.50 [hand-set]; disambiguationTonicBonus=1.00 [hand-set],ranked candidates,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,disambiguationTonicBonus;disambiguationTriadBonus;disambiguationTriadCost,yes,
declared-mode penalty,L3,live,src/composing/analysis/types/analysistypes.h:752; src/composing/analysis/key/keymodeanalyzer.cpp:598-603,src/composing/analysis/key/keymodeanalyzer.cpp:598-603,"subtractive penalty on candidates whose mode class contradicts the file's declared mode (graded, was a 7.0 wall)",declaredModePenalty=1.0 [hand-set],emission score,F2,"notated signature + declared mode -> prior on (tonic, mode)",,declaredModePenalty,yes,the declared-mode prior channel (OI-78 siloing)
partial-signature correction,L3,live,src/composing/analysis/key/keyresolver.cpp:107-190,src/composing/analysis/key/keyresolver.cpp:248,hard one-step signature correction when a pervasive dominant accidental is present (>=3% of weight and >=2x its natural),kPervasiveFraction=0.03 [hand-set]; kDominanceRatio=2.0 [hand-set],corrected fifths anchor for resolver + decode,F2,"notated signature + declared mode -> prior on (tonic, mode)",,kDominanceRatio;kPervasiveFraction,yes,Baroque partial/Dorian signatures
dynamic lookahead (resolver),L3,live,src/composing/analysis/types/analysistypes.h:789-791; src/composing/analysis/key/keyresolver.cpp:308-326,src/composing/analysis/key/keyresolver.cpp:318-325,"iterative window expansion until confidence >= threshold or cap (2-beat steps, 24-beat max)",dynamicLookaheadConfidenceThreshold=0.60 [hand-set]; dynamicLookaheadStepBeats=2 [hand-set]; dynamicLookaheadMaxBeats=24 [hand-set],resolveKeyAndModeRanked,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,dynamicLookaheadConfidenceThreshold;dynamicLookaheadMaxBeats;dynamicLookaheadStepBeats,yes,"windowing policy, not a model factor"
mode-switching hysteresis (resolver),L3,live,"src/composing/analysis/types/analysistypes.h:801,807; src/composing/analysis/key/keyresolver.cpp:340-356",src/composing/analysis/key/keyresolver.cpp:340-356,hard margin: a key/mode switch must beat the incumbent by the margin (relative pair has its own),hysteresisMargin=2.0 [hand-set]; relativeKeyHysteresisMargin=2.0 [hand-set],resolver ranked output; ALSO decoder change-cost defaults (shared symbols),NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,hysteresisMargin;relativeKeyHysteresisMargin,yes,"OI-97: the two margins are value-coupled by comment only; nearest factor: the (tonic,mode) transition term of the joint decode (not on the §2 roster)"
L3 sequence decoder (Viterbi),L3,live,src/composing/analysis/key/keymodesequence.h:112-155; src/composing/analysis/key/keymodesequence.cpp:242-398,"src/composing/analysis/region/regionanalyzer.cpp:636,707","forward max-sum DP over per-slice top-K union of 252 (tonic,mode) candidates; transition cost = base + perFifth x cofDistance + relativePairExtra; backward pass for sequence margin",topK=8 [hand-set]; changeBaseCost=2.0 [derived=hysteresisMargin]; changePerFifthStep=0.60 [derived=keySignatureDistancePenalty]; relativePairExtraCost=2.0 [derived=relativeKeyHysteresisMargin]; windowBeats=4.0 [hand-set]; beatsPerDecayUnit=4.0 [hand-set]; uncertainThreshold=1.0 [hand-set]; maxAlternatives=4 [hand-set],per-slice key/mode -> region keys -> L4 key context,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,beatsPerDecayUnit;changeBaseCost;changePerFifthStep;derived;maxAlternatives;relativePairExtraCost;topK;uncertainThreshold;windowBeats,yes,"the existing (tonic,mode) transition structure the joint model subsumes; not itself a §2 roster factor"
L3 confidence sigmoid,L3,live,src/composing/analysis/types/analysistypes.h:777-778; src/composing/analysis/key/keymodeanalyzer.cpp:762-777,src/composing/analysis/key/keymodesequence.cpp:224-225,"sigmoid(top1-top2 gap) -> normalizedConfidence (midpoint 2.0, steepness 1.5)",confidenceSigmoidMidpoint=2.0 [hand-set]; confidenceSigmoidSteepness=1.5 [hand-set],downstream 0.8 annotate gate; exposure buckets,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,confidenceSigmoidMidpoint;confidenceSigmoidSteepness,yes,reporting/abstention surface (OI-79 notes the duplicated sigmoid form)
annotate key-confidence gate,L3-section,live,src/composing/analysis/section/sectionanalyzer.h:91,src/composing/analysis/section/sectionanalyzer.cpp:760; src/composing/analysis/section/sectioncadencedetection.cpp:56,"hard abstention bar: key-dependent annotations (key areas, cadence labels) need normalizedConfidence >= 0.8",kAnnotateKeyConfidenceThreshold=0.8 [hand-set],user-visible annotations,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kAnnotateKeyConfidenceThreshold,yes,G10 manifest row; abstention policy
island key stabilization,L3-section,live,src/composing/analysis/section/sectionanalyzer.cpp:90-163,src/composing/analysis/section/sectionanalyzer.cpp:108-125,structural smoothing: a 1-region key island is overwritten by the stable key unless the change persists into the next region,structural,displayed region keys,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,post-hoc smoothing duplicating what a decode transition should do; runs only when joint wiring OFF
live cadence patterns (PAC/PC/DC/HC),L3-section,live,src/composing/analysis/section/sectioncadencedetection.cpp:101-137,notationcomposingbridge.cpp:1244,"hard degree-pattern rules on adjacent regions (e.g. PAC: degree 4->0 non-minor, or 6-dim->0), same key, confidence-gated",structural (kMaxPivotLookaheadRegions=8 [hand-set]),cadence labels written to score,F4,"cadence votes + leading-tone events -> emission/transition factor on (tonic,mode) at cadences",,kMaxPivotLookaheadRegions,yes,key-DEPENDENT (degree-based) — the circular form OI-166's key-agnostic detector is meant to replace; annotation-only (no key feedback)
sparse-gap chord inference (section),L3-section,live,"src/composing/analysis/section/sectionanalyzer.cpp:295-407,502-517,706-710",src/composing/analysis/section/sectionanalyzer.cpp:392,"interval-table inference for thin gaps (m3/M3/dim5/P5 -> quality priority Major/Minor=3, Dim=2, fifth=1); gaps <3 pcs carry neighbours; measure-opening carry within 1 beat",structural (priority seeds 3/2/1; pc bars 3; 1-beat window),displayed gap regions,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,,yes,display-path refinement (P2 annotation pipeline)
joint key weights (J-key),L3-dormant,dormant,src/composing/analysis/section/jointkeydecision.h:141-150,src/composing/analysis/section/jointkeydecision.cpp:235-349,additive re-rank weights over the scoped key lattice + Viterbi transition penalty; config-B chord-coupling bonus with rank decay,scalePrior=1.0 [hand-set]; localPrior=0.5 [hand-set]; cadenceAnchor=0.8 [hand-set]; modulation=1.0 [hand-set]; bassIsRootTonic=0.15 [hand-set]; declaredHint=1.0 [hand-set]; transitionPenalty=1.2 [hand-set]; couplingBonus=0.6 [hand-set],gated OFF (MUSE_JOINT_KEY_WIRING),NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,bassIsRootTonic;cadenceAnchor;couplingBonus;declaredHint;localPrior;modulation;scalePrior;transitionPenalty,yes,the shelved J-key-iii scoped-joint step; superseded in spirit by the ratified joint estimator
cadence key-anchor vote,L3-dormant,dormant,"src/composing/analysis/section/cadencekeyanchor.cpp:115-118,151-154",src/composing/analysis/section/cadencekeyanchor.cpp:151-167,"weighted vote per detected authentic cadence into (tonic,mode) buckets: base + structural(phrase boundary) + chromatic LT + recency; winner by weight share",kWeightBase=1.0 [swept]; kWeightStructural=2.0 [swept]; kWeightChromatic=1.0 [swept]; kWeightFinality=1.0 [swept],dormant joint-key path / diagnostics,F4,"cadence votes + leading-tone events -> emission/transition factor on (tonic,mode) at cadences",,kWeightBase;kWeightChromatic;kWeightFinality;kWeightStructural,yes,leading-tone PRESENCE test (not resolution) — the false-positive-prone form functioncadence replaces
local-modulation establishment,L3-dormant,dormant,src/composing/analysis/section/localmodulationdetector.cpp:47-48,"src/composing/analysis/section/localmodulationdetector.cpp:89,190",hard: a tonicization becomes a local-key span after >=5 consistent chords (<=2 out-of-collection pcs each) + >=1 confirming cadence,kEstablishmentMinChords=5 [hand-set]; kPitchTolerance=2 [hand-set],dormant joint-key path,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kEstablishmentMinChords;kPitchTolerance,yes,tonicization-vs-modulation duration prior in disguise
chord-slice decoder preferences,L4-decoder,dormant,src/composing/analysis/chord/chordslicedecoder.h:158-318,src/composing/analysis/chord/chordslicedecoder.cpp (decode/decideSlice/finalizeSlice),"13 tunable settings: window half-widths (1/3), topK 6, uncertainty margin 0.5, pc floors (1/3), membership salience threshold 0.55 + reference duration 1.0 + penalty weight 0.6, stepwise gap tolerance 0, commit sufficiency 3, master switches, edge extension (OFF, 4 steps x 1 slice)",contextSlices=1 [hand-set]; maxContextSlices=3 [hand-set]; topK=6 [hand-set]; uncertaintyMargin=0.5 [hand-set]; minDistinctPcs=1 [hand-set]; minHarmonyPcs=3 [hand-set]; membershipSalienceThreshold=0.55 [hand-set]; membershipReferenceDurationQn=1.0 [hand-set]; membershipPenaltyWeight=0.6 [hand-set]; stepwiseGapToleranceTicks=0 [hand-set]; sufficiencyChordTones=3 [hand-set]; maxEdgeExtendSteps=4 [hand-set]; edgeExtendIncrementSlices=1 [hand-set],diagnostic decode paths only (batch_analyze --decode-chords),F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,contextSlices;edgeExtendIncrementSlices;maxContextSlices;maxEdgeExtendSteps;membershipPenaltyWeight;membershipReferenceDurationQn;membershipSalienceThreshold;minDistinctPcs;minHarmonyPcs;stepwiseGapToleranceTicks;sufficiencyChordTones;topK;uncertaintyMargin,yes,OI-103: only sufficiencyChordTones is in the manifest; ranking score is the oracle's verticalScore (no second scorer)
decoder membership/salience scoring,L4-decoder,dormant,"src/composing/analysis/chord/chordslicedecoder.cpp:236-241,342-376,839-851,883-917",src/composing/analysis/chord/chordslicedecoder.cpp:1139-1143,"salience = metricWeight x min(1, durationQn/ref); tone-tier ladder (suspension/step/leap); implausibility penalty summed and subtracted x penaltyWeight; composite confidence = min(margin, sufficiency, cleanliness)",kNoCompetitorConfidence=1000.0 [hand-set],decoder re-rank + uncertainty,F1,"NCT-cleaned tone collections / pitch content -> emission P(pitches|tonic,mode,chord)",,kNoCompetitorConfidence,yes,"the NCT-classification machinery (Tier-1/2/3) lives here, dormant"
function-cadence vote weights,L5,dormant,src/composing/analysis/function/functioncadence.h:194-206,src/composing/analysis/function/functioncadence.cpp:159-197,additive tonic-vote per detected cadence: base + bass-5->1 + leading-tone-resolves + genuine-dominant-7th + metric + phrase-boundary(2.0) + final-bar; half/plagal/evaded discounted x0.5,wBase=1.0 [hand-set]; wBassFiveToOne=1.0 [hand-set]; wLeadingTone=1.0 [hand-set]; wSeventh=1.0 [hand-set]; wMetric=1.0 [hand-set]; wPhraseBoundary=2.0 [hand-set]; wFinalBar=1.0 [hand-set]; discountHalf=0.5 [hand-set]; discountPlagal=0.5 [hand-set]; discountEvaded=0.5 [hand-set],"no production consumer (OI-166: chord-derived, not the specified L1.5 pre-scan)",F4,"cadence votes + leading-tone events -> emission/transition factor on (tonic,mode) at cadences",,discountEvaded;discountHalf;discountPlagal;wBase;wBassFiveToOne;wFinalBar;wLeadingTone;wMetric;wPhraseBoundary;wSeventh,yes,key-agnostic but CHORD-derived tonic hypothesis (arr.rootPc)
modulation decision params,L5,dormant,"src/composing/analysis/function/functionmodulation.h:109-118,128",src/composing/analysis/function/functionmodulation.cpp:75-86,modulation iff cadence-confirmed AND persistence evidence (wDuration x wholes + wCadentialWeight x votes + wSpelling) > baseChangeCost,baseChangeCost=1.0 [hand-set]; wDuration=1.0 [hand-set]; wCadentialWeight=1.0 [hand-set]; wSpelling=0.5 [hand-set]; kTicksPerWholeNote=1920.0 [structural],no production consumer,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,,yes,tonicization-vs-modulation decision form
progression licensing grammar,L5,dormant,src/composing/analysis/function/functionprogression.cpp:44-142,isLicensedProgression,"boolean root-motion grammar (desc 5th/3rd, asc 2nd/5th, desc 2nd, diatonic dim 5th, applied resolutions); NO numeric constants",structural,no production consumer,F5,progression grammaticality -> chord transition term,,,yes,the fullest existing progression-grammaticality term — dormant
function resolver plausibility,L5,dormant,src/composing/analysis/function/functionresolver.h:210-216,"src/composing/analysis/function/functionresolver.cpp:90-107,277",plausibility = wLicensedOut + wLicensedIn + wCadentialFit; deciding margin 0.5; per-kind confidence seeds 0.25/0.5/1.0; fine-grain forward override channel,wLicensedOut=1.0 [hand-set]; wLicensedIn=1.0 [hand-set]; wCadentialFit=1.0 [hand-set]; decidingMargin=0.5 [hand-set],no production consumer,F5,progression grammaticality -> chord transition term,,decidingMargin;wCadentialFit;wLicensedIn;wLicensedOut,yes,
forward-override bar,L5,dormant,src/composing/analysis/function/forwardoverride.h:80-83,src/composing/analysis/function/forwardoverride.cpp:26-45,override iff contradictionStrength > baseBar + confidenceScale x clamp01(earlierConfidence); once per pass,baseBar=1.0 [hand-set]; confidenceScale=1.0 [hand-set],no production consumer,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,baseBar;confidenceScale,yes,the ratified forward-override pattern's constants
function output confidence,L5,dormant,src/composing/analysis/function/functionoutput.h:102-109,functionoutput.cpp,additive confidence combination + boundary squash x/(x+k),wCadenceVote=1.0 [hand-set]; wLicensedFit=1.0 [hand-set]; wNextBestMargin=1.0 [hand-set]; kBoundary=1.0 [hand-set],no production consumer,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kBoundary;wCadenceVote;wLicensedFit;wNextBestMargin,yes,representational
progression recognizer priors,L5,dormant,src/composing/analysis/progression/progressionrecognizer.h:109-133,"src/composing/analysis/progression/progressionrecognizer.cpp:95-116,250",idiom prior = matchScore x max seed/histogram blend (alpha=evidence/(evidence+blendRate)); cue discounts x0.5,blendRate=1.0 [hand-set]; admissionThreshold=0.0 [hand-set]; modeCueFactor=0.5 [hand-set]; chordsOnlyFactor=0.5 [hand-set],no production consumer,F5,progression grammaticality -> chord transition term,,admissionThreshold;blendRate;chordsOnlyFactor;modeCueFactor,yes,
VL-C texture classifier,L5,dormant,src/composing/analysis/voiceleading/textureclassifier.h:132-137,src/composing/analysis/voiceleading/textureclassifier.cpp:85-133,z-scored nearest-centroid over 20 features; fit=exp(-distance/scale); abstain floors (fit/margin/samples),fitScale=2.6734128 [study-fitted]; fitFloor=0.129574792 [study-fitted]; marginFloor=0.00718666965 [study-fitted]; evidentialFloor=8 [hand-set],no production consumer,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,evidentialFloor;fitFloor;fitScale;marginFloor,yes,generated reference tables (textureclassifierreference.h)
key exposure buckets (implode bridge),bridge,live,src/notation/internal/notationimplodebridge.cpp:79-96,src/notation/internal/notationimplodebridge.cpp:84-95,hard confidence buckets deciding key exposure in imploded output: <0.5 none / <0.8 tentative / else assertive,kTentativeKeyExposureThreshold=0.5 [hand-set]; kAssertiveKeyExposureThreshold=0.8 [hand-set],imploded chord-staff output,NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,kAssertiveKeyExposureThreshold;kTentativeKeyExposureThreshold,yes,consumption-side decision constants on NO audited surface and in no manifest (new register row)
preset carriers (batch_analyze),bridge,live,tools/batch_analyze.cpp:4206-4261,tools/batch_analyze.cpp:4267-4281,per-preset overrides: Jazz extensionThreshold 0.12 + reduced inversion bonuses + kWStepIn 0.10; Baroque/Standard preferMinorOverMajorAdd6 true; Default = product config,presetKWStepIn=0.125/0.10 [fit-adopted/hand-set per carrier],measurement carriers (Baroque/Jazz/Default),NONE,maps to no §2 roster factor (keep/fix/drop input for the design pass),,presetKWStepIn,yes,"carrier definitions, not model terms"
